idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1413,-5.594010829925537,-5.946818828582764,-5.407799243927002,-5.555258274078369,-6.39491081237793,-6.39491081237793,-6.74029541015625,-8.019767761230469,-8.035181999206543,-8.035181999206543,-5.769862174987793,-7.15234899520874,-6.997807502746582,-8.122284889221191
1414,-6.781862735748291,-7.648223876953125,-7.690397262573242,-10.267913818359375,-8.338278770446777,-8.338278770446777,-8.218362808227539,-10.417015075683594,-10.318084716796875,-10.318084716796875,-7.635130405426025,-10.641494750976562,-9.01794147491455,-15.307162284851074
1415,-6.848692893981934,-7.737331390380859,-7.824058532714844,-10.535235404968262,-8.867888450622559,-8.867888450622559,-8.665841102600098,-11.013653755187988,-10.485960960388184,-10.485960960388184,-7.517341136932373,-10.464810371398926,-9.494726181030273,-16.737516403198242
1416,-6.202632904052734,-6.875917434692383,-6.531937599182129,-7.950994491577148,-7.518789291381836,-7.518789291381836,-7.476573944091797,-9.427964210510254,-9.878979682922363,-9.878979682922363,-7.298595428466797,-10.13669204711914,-8.371603965759277,-13.368149757385254
1417,-6.284320831298828,-6.98483419418335,-6.695313453674316,-8.277745246887207,-7.7685112953186035,-7.7685112953186035,-7.8066229820251465,-9.868029594421387,-9.976341247558594,-9.976341247558594,-7.350021839141846,-10.213831901550293,-8.239665031433105,-12.972331047058105
1418,-7.220118999481201,-8.232565879821777,-8.566909790039062,-12.020938873291016,-9.08993911743164,-9.08993911743164,-8.745819091796875,-11.120291709899902,-11.070083618164062,-11.070083618164062,-7.652126312255859,-10.666988372802734,-8.764259338378906,-14.546116828918457
1419,-6.692688941955566,-7.52932596206665,-7.512050628662109,-9.911219596862793,-8.516057968139648,-8.516057968139648,-8.361409187316895,-10.607745170593262,-10.404109001159668,-10.404109001159668,-7.320573329925537,-10.169658660888672,-8.186565399169922,-12.813034057617188
1420,-5.2656636238098145,-5.536384582519531,-4.860553741455078,-4.7343902587890625,-5.976436614990234,-5.976436614990234,-6.483381748199463,-7.698625564575195,-7.865539073944092,-7.865539073944092,-5.547396659851074,-6.8557281494140625,-6.324176788330078,-6.775022983551025
1421,-6.7804155349731445,-7.646293640136719,-7.687502861022949,-9.547771453857422,-8.797982215881348,-8.797982215881348,-8.4508056640625,-10.726941108703613,-11.054824829101562,-11.054824829101562,-8.809250831604004,-12.402674674987793,-8.989867210388184,-15.222938537597656
1422,-5.524654388427734,-5.8601226806640625,-5.292204856872559,-5.024690628051758,-6.900954246520996,-6.900954246520996,-6.8812360763549805,-8.195943832397461,-8.105878829956055,-8.105878829956055,-5.905507564544678,-7.33320951461792,-6.4802703857421875,-7.087210178375244
