idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
11,-5.301377773284912,-5.306131362915039,-6.965023517608643,-5.410373687744141,-6.749819755554199,-6.749819755554199,-7.405404567718506,-8.616912841796875,-7.923367500305176,-7.923367500305176,-6.511190891265869,-8.487102508544922,-5.26704216003418,-8.491328239440918
12,-5.522149085998535,-5.582095146179199,-7.516951084136963,-6.514228820800781,-6.512381553649902,-6.512381553649902,-6.948245048522949,-8.045463562011719,-8.200651168823242,-8.200651168823242,-6.990077495574951,-9.205431938171387,-5.236965179443359,-8.371021270751953
13,-5.296323299407959,-5.299813270568848,-6.95238733291626,-5.385101318359375,-6.399809837341309,-6.399809837341309,-6.871301174163818,-7.949284553527832,-7.87210750579834,-7.87210750579834,-6.6905341148376465,-8.75611686706543,-5.094721794128418,-7.802045822143555
14,-4.375253677368164,-4.148476600646973,-4.649713039398193,-0.7797527313232422,-5.908207893371582,-5.908207893371582,-6.331419467926025,-7.274432182312012,-6.832355499267578,-6.832355499267578,-5.157664775848389,-6.456812858581543,-4.6038336753845215,-5.838494300842285
15,-5.165284156799316,-5.136013984680176,-6.624788761138916,-4.7299041748046875,-6.15798807144165,-6.15798807144165,-6.84824275970459,-7.920461654663086,-7.714509963989258,-7.714509963989258,-6.698204040527344,-8.767621994018555,-4.999477386474609,-7.421069622039795
16,-6.351064682006836,-6.707298278808594,-6.659665107727051,-3.8343935012817383,-7.000516414642334,-7.000516414642334,-7.994542121887207,-9.806266784667969,-9.12685489654541,-9.12685489654541,-5.387367248535156,-6.801367282867432,-7.537822723388672,-10.528541564941406
17,-6.245632648468018,-6.566722869873047,-6.448801517486572,-3.4126663208007812,-6.9624481201171875,-6.9624481201171875,-7.658188343048096,-9.357794761657715,-9.273191452026367,-9.273191452026367,-5.327927112579346,-6.7122063636779785,-7.4379401206970215,-10.22889232635498
18,-6.250603675842285,-6.5733513832092285,-6.458744049072266,-3.432551383972168,-7.01260232925415,-7.01260232925415,-7.829930305480957,-9.586784362792969,-9.105475425720215,-9.105475425720215,-5.340482234954834,-6.731039524078369,-7.748743534088135,-11.161303520202637
19,-6.07580041885376,-6.340280055999756,-6.109137058258057,-2.73333740234375,-5.996525287628174,-5.996525287628174,-7.233188629150391,-8.791129112243652,-8.502739906311035,-8.502739906311035,-4.971791744232178,-6.178003787994385,-6.73503303527832,-8.120172500610352
20,-6.669612884521484,-7.132029056549072,-7.296761512756348,-5.108586311340332,-7.72051477432251,-7.72051477432251,-8.341480255126953,-10.268851280212402,-9.513798713684082,-9.513798713684082,-6.445625305175781,-8.388753890991211,-7.212564945220947,-9.552769660949707
21,-6.480766296386719,-6.8802337646484375,-6.919067859649658,-4.737471580505371,-7.463743686676025,-7.463743686676025,-8.057371139526367,-9.89003849029541,-9.124872207641602,-9.124872207641602,-5.94916296005249,-7.644059658050537,-7.537822723388672,-10.528541564941406
22,-6.624203205108643,-7.071483135223389,-7.205942153930664,-5.311220169067383,-7.515317916870117,-7.515317916870117,-7.900876045227051,-9.681378364562988,-9.266585350036621,-9.266585350036621,-6.117015361785889,-7.895838737487793,-7.4379401206970215,-10.22889232635498
23,-6.750790596008301,-7.2402663230896,-7.459117412567139,-5.817570686340332,-7.5782341957092285,-7.5782341957092285,-8.144186019897461,-10.005791664123535,-9.26279354095459,-9.26279354095459,-6.18637228012085,-7.999874114990234,-7.748743534088135,-11.161303520202637
24,-5.987584114074707,-6.222657680511475,-5.932703971862793,-2.7647438049316406,-6.43229866027832,-6.43229866027832,-7.359854698181152,-8.960017204284668,-8.139815330505371,-8.139815330505371,-5.257359504699707,-6.6063551902771,-6.73503303527832,-8.120172500610352
25,-6.887308120727539,-7.4222893714904785,-7.732152462005615,-6.363640785217285,-8.058435440063477,-8.058435440063477,-8.454855918884277,-10.420018196105957,-9.436251640319824,-9.436251640319824,-7.059179782867432,-9.309085845947266,-7.212564945220947,-9.552769660949707
26,-7.089815139770508,-7.692300319671631,-8.137166976928711,-6.149106025695801,-8.561629295349121,-8.561629295349121,-8.072553634643555,-9.910282135009766,-10.44970703125,-10.44970703125,-6.511190891265869,-8.487102508544922,-7.537822723388672,-10.528541564941406
27,-7.302285194396973,-7.975592136383057,-8.56210708618164,-6.998984336853027,-8.617228507995605,-8.617228507995605,-7.993136882781982,-9.80439281463623,-10.886483192443848,-10.886483192443848,-6.990077495574951,-9.205431938171387,-7.4379401206970215,-10.22889232635498
28,-7.0049238204956055,-7.579111099243164,-7.967384338378906,-5.809539794921875,-8.807791709899902,-8.807791709899902,-8.177814483642578,-10.050629615783691,-10.579121589660645,-10.579121589660645,-6.6905341148376465,-8.75611686706543,-7.748743534088135,-11.161303520202637
