idx,construction_score,non_article_region_score,numeral_noun_region_score,just_noun_region_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
11405,-6.799783229827881,-6.825131893157959,-8.156201362609863,-8.315250396728516,-8.408042907714844,-8.408042907714844,-8.199333190917969,-9.119616508483888,-9.71080207824707,-9.71080207824707,-9.015130996704102,-11.726917266845703,-7.880245208740234,-14.914926528930664
11406,-6.994630813598633,-7.05894947052002,-8.740743637084961,-8.66506576538086,-9.100956916809082,-9.100956916809082,-9.002371788024902,-10.084197998046877,-10.234561920166016,-10.234561920166016,-8.678621292114258,-11.222152709960938,-8.372909545898438,-17.378246307373047
11407,-6.592437267303467,-6.576316833496094,-7.534162521362305,-6.251903057098389,-9.228894233703612,-9.228894233703612,-8.915318489074707,-9.979734420776367,-9.805030822753906,-9.805030822753906,-8.319353103637695,-10.683250427246094,-8.43161678314209,-17.671783447265625
11408,-6.992223262786865,-7.056059837341309,-8.7335205078125,-8.650619506835938,-8.960944175720215,-8.960944175720215,-9.181160926818848,-10.298744201660156,-10.239142417907717,-10.239142417907717,-9.659553527832031,-12.693552017211914,-8.466933250427246,-17.778499603271484
11409,-6.560555458068848,-6.538058757781982,-7.438516616821289,-6.060611724853516,-7.769998073577881,-7.769998073577881,-7.618577003479004,-8.423643112182617,-9.331398010253906,-9.331398010253906,-8.39026927947998,-10.78962516784668,-8.00584602355957,-15.521469116210938
11410,-7.183325290679932,-7.285382747650146,-9.296974182128906,-9.766490936279297,-8.555142402648926,-8.555142402648926,-8.18094539642334,-9.098485946655272,-10.32811164855957,-10.32811164855957,-9.22419261932373,-12.040510177612305,-7.932878494262695,-15.15663242340088
11411,-7.179632663726807,-7.280689239501953,-9.285017013549805,-8.037571907043457,-9.146465301513672,-9.146465301513672,-10.077401161193848,-11.374351501464844,-9.999191284179688,-9.999191284179688,-10.76595687866211,-14.349688529968262,-8.422597885131836,-17.605228424072266
11412,-6.680910110473633,-6.682222366333008,-7.788849830627441,-5.045238494873047,-9.033082962036133,-9.033082962036133,-9.94712734222412,-11.218021392822266,-9.419527053833008,-9.419527053833008,-9.6988525390625,-12.749032974243164,-8.492069244384766,-17.952585220336914
11413,-6.811285972595215,-6.8386735916137695,-8.179977416992188,-5.827493190765381,-8.886275291442871,-8.886275291442871,-10.099068641662598,-11.400352478027344,-9.602535247802734,-9.602535247802734,-10.843530654907228,-14.46605110168457,-8.4559326171875,-17.771900177001953
11414,-6.856777191162109,-6.893263816833496,-8.316452026367188,-6.100442409515381,-8.19532299041748,-8.19532299041748,-9.161700248718262,-10.275510787963867,-9.19240379333496,-9.19240379333496,-9.63850212097168,-12.65850830078125,-8.00024700164795,-15.50969409942627
11415,-7.3685832023620605,-7.507430076599121,-9.851868629455566,-9.171277046203612,-8.859308242797852,-8.859308242797852,-9.68226718902588,-10.900190353393556,-10.049969673156738,-10.049969673156738,-10.957316398620604,-14.636730194091797,-7.880451202392578,-14.914549827575684
11416,-9.828900337219238,-11.907452583312988,-8.226239204406738,-11.16027545928955,-12.557167053222656,-12.557167053222656,-11.293277740478516,-13.861586570739746,-13.356809616088867,-13.356809616088867,-9.036192893981934,-11.755043029785156,-12.631902694702148,-15.045852661132812
11417,-9.15935516357422,-11.01492404937744,-6.893784523010254,-8.489501953125,-13.006797790527344,-13.006797790527344,-11.8229341506958,-14.567794799804688,-12.877496719360352,-12.877496719360352,-8.256654739379883,-10.585735321044922,-13.268123626708984,-16.95451545715332
11418,-10.131125450134276,-12.310616493225098,-8.837323188781738,-12.376579284667969,-12.559249877929688,-12.559249877929688,-11.799591064453123,-14.53667163848877,-13.676613807678224,-13.676613807678224,-9.781474113464355,-12.872965812683104,-12.751501083374023,-15.404650688171388
11419,-9.216389656066896,-11.09096908569336,-7.007852554321289,-8.717638969421387,-11.589981079101562,-11.589981079101562,-11.049175262451172,-13.53611660003662,-13.349371910095217,-13.349371910095217,-8.22779655456543,-10.544453620910645,-13.612537384033203,-17.98775863647461
11420,-9.62588882446289,-11.636968612670898,-7.826850414276123,-10.355633735656738,-12.385414123535156,-12.385414123535156,-11.516615867614746,-14.15937042236328,-13.213068008422852,-13.213068008422852,-9.00745964050293,-11.713949203491213,-12.593000411987305,-14.92914581298828
11421,-9.686033248901367,-11.717161178588867,-7.947139739990234,-9.862091064453123,-12.535075187683104,-12.535075187683104,-11.27357006072998,-13.83531093597412,-13.453790664672852,-13.453790664672852,-8.674264907836914,-11.214155197143556,-12.631902694702148,-15.045852661132812
11422,-9.102325439453123,-10.938883781433104,-6.779725074768066,-7.527260780334473,-13.08002471923828,-13.08002471923828,-11.861181259155272,-14.618791580200195,-13.136035919189451,-13.136035919189451,-8.310406684875488,-10.66836929321289,-13.266290664672852,-16.949016571044922
11423,-10.131132125854492,-12.310626983642578,-8.8373384475708,-11.64248752593994,-12.560914039611816,-12.560914039611816,-11.736143112182615,-14.45073127746582,-14.040925979614258,-14.040925979614258,-9.656221389770508,-12.687089920043944,-12.746362686157228,-15.394685745239258
11424,-9.218153953552246,-11.093320846557615,-7.011380195617676,-7.988593101501465,-11.364496231079102,-11.364496231079102,-10.857072830200195,-13.278636932373049,-13.711652755737305,-13.711652755737305,-8.385778427124023,-10.781426429748535,-13.607364654541016,-17.977691650390625
11425,-9.968453407287598,-12.095154762268066,-8.514705657958984,-11.003713607788086,-12.72423267364502,-12.72423267364502,-11.320220947265623,-13.896167755126951,-13.995820999145508,-13.995820999145508,-9.212379455566406,-12.021329879760742,-12.588836669921877,-14.922106742858888
11426,-10.038657188415527,-12.188759803771973,-8.655113220214844,-8.632545471191406,-13.335984230041504,-13.335984230041504,-12.697137832641602,-15.73205852508545,-14.202473640441896,-14.202473640441896,-10.750253677368164,-14.32813835144043,-12.630020141601562,-15.04565715789795
11427,-9.52323055267334,-11.501524925231934,-7.624260902404785,-6.570839881896973,-13.757143020629885,-13.757143020629885,-13.320167541503906,-16.562763214111328,-13.511198043823242,-13.511198043823242,-9.694063186645508,-12.74321174621582,-13.263439178466797,-16.945911407470703
11428,-10.004434585571287,-12.1431303024292,-8.586668014526367,-8.49565601348877,-13.246249198913574,-13.246249198913574,-13.154325485229492,-16.34164047241211,-14.124038696289062,-14.124038696289062,-10.835800170898438,-14.455816268920898,-12.746362686157228,-15.394685745239258
11429,-9.6512451171875,-11.672210693359377,-7.880289077758789,-7.082896709442139,-13.377727508544922,-13.377727508544922,-13.067819595336914,-16.226301193237305,-13.80053424835205,-13.80053424835205,-9.633663177490234,-12.65261173248291,-13.607364654541016,-17.977691650390625
11430,-10.422408103942873,-12.700427055358888,-9.422613143920898,-10.167545318603516,-14.06513214111328,-14.06513214111328,-13.57753562927246,-16.90300750732422,-14.33854866027832,-14.33854866027832,-10.954116821289062,-14.633291244506836,-12.588836669921877,-14.92210578918457
11431,-9.978984832763672,-12.1091947555542,-9.42834186553955,-11.511795043945312,-12.846674919128418,-12.846674919128418,-12.042390823364258,-14.858555793762209,-14.697585105895996,-14.697585105895996,-9.034086227416992,-11.75324535369873,-12.358877182006836,-16.01738166809082
11432,-9.060702323913574,-10.88481903076172,-7.591778755187988,-7.838667392730713,-12.394655227661133,-12.394655227661133,-11.94344711303711,-14.726630210876465,-13.9371976852417,-13.9371976852417,-8.25497817993164,-10.584583282470703,-12.418991088867188,-16.205707550048828
11433,-10.142866134643556,-12.326361656188965,-9.760098457336426,-12.16995620727539,-12.239121437072754,-12.239121437072754,-11.637269973754885,-14.31839370727539,-14.47760009765625,-14.47760009765625,-9.780195236206056,-12.87240982055664,-12.398843765258787,-16.145263671875
11434,-9.512975692749023,-11.486509323120115,-8.500320434570312,-9.65040111541748,-10.835419654846191,-10.835419654846191,-10.301068305969238,-12.536792755126951,-13.889092445373535,-13.889092445373535,-8.2283296585083,-10.544610977172852,-12.317909240722656,-15.902466773986816
11435,-9.786194801330566,-11.850800514221191,-9.046758651733398,-10.743277549743652,-11.195731163024902,-11.195731163024902,-10.517412185668944,-12.825252532958984,-14.287612915039062,-14.287612915039062,-9.015218734741213,-11.724626541137695,-11.541210174560549,-13.572364807128906
11436,-9.734101295471191,-11.781342506408691,-8.942569732666016,-10.998505592346191,-12.911200523376465,-12.911200523376465,-11.778846740722656,-14.507164001464844,-14.84793758392334,-14.84793758392334,-8.680159568786621,-11.222037315368652,-12.348041534423828,-15.992856979370115
11437,-8.729986190795898,-10.442523002624512,-6.934340476989746,-6.982046604156494,-12.579523086547852,-12.579523086547852,-11.859004020690918,-14.614803314208984,-13.980738639831545,-13.980738639831545,-8.322211265563965,-10.685114860534668,-12.418989181518556,-16.205707550048828
11438,-9.930232048034668,-12.04284954071045,-9.334833145141602,-11.78303050994873,-12.49598503112793,-12.49598503112793,-11.681204795837402,-14.376346588134766,-14.82131576538086,-14.82131576538086,-9.663061141967772,-12.69639015197754,-12.398843765258787,-16.145265579223633
11439,-9.231582641601562,-11.11131763458252,-7.937532424926758,-8.98843002319336,-11.11904239654541,-11.11904239654541,-10.373871803283691,-12.633235931396484,-13.915253639221191,-13.915253639221191,-8.391636848449707,-10.78925323486328,-12.317911148071287,-15.902467727661133
11440,-9.997078895568848,-12.131979942321776,-9.468527793884276,-12.050420761108398,-11.769328117370604,-11.769328117370604,-10.640670776367188,-12.988967895507812,-14.694605827331545,-14.694605827331545,-9.22575569152832,-12.04043197631836,-11.53680419921875,-13.55915069580078
11441,-10.260028839111328,-12.479666709899902,-9.987746238708496,-10.38896942138672,-13.15039348602295,-13.15039348602295,-13.299352645874023,-16.533876419067383,-14.951573371887209,-14.951573371887209,-10.756381034851074,-14.336370468139648,-12.312145233154297,-15.85231876373291
11442,-9.338794708251951,-11.25376033782959,-8.135528564453125,-6.703364372253418,-12.808070182800291,-12.808070182800291,-13.12668800354004,-16.304059982299805,-13.908425331115724,-13.908425331115724,-9.690589904785156,-12.73768424987793,-12.39509391784668,-16.101160049438477
