idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
26,-5.980612277984619,-6.172216892242432,-7.660013675689697,-5.340612411499023,-7.5403900146484375,-7.5403900146484375,-8.13156509399414,-10.01884651184082,-9.145651817321777,-9.145651817321777,-6.756165027618408,-8.899385452270508,-5.867408275604248,-8.99980354309082
27,-6.084780216217041,-6.311107635498047,-7.868349552154541,-5.757284164428711,-7.808007717132568,-7.808007717132568,-8.176176071166992,-10.078328132629395,-9.234627723693848,-9.234627723693848,-7.050047397613525,-9.340208053588867,-6.061321258544922,-9.581542015075684
28,-6.115394115447998,-6.351926326751709,-7.929577350616455,-5.879739761352539,-7.649652004241943,-7.649652004241943,-8.153158187866211,-10.047636032104492,-9.17478084564209,-9.17478084564209,-6.908623218536377,-9.128072738647461,-5.759923458099365,-8.677349090576172
29,-4.916941165924072,-4.753989219665527,-5.5326714515686035,-1.085927963256836,-6.279766082763672,-6.279766082763672,-7.220493793487549,-8.804083824157715,-7.714380741119385,-7.714380741119385,-5.573127746582031,-7.1248297691345215,-4.917805194854736,-6.150994777679443
30,-6.147151470184326,-6.394269943237305,-7.9930925369262695,-6.00676965713501,-6.936089992523193,-6.936089992523193,-7.9317474365234375,-9.752422332763672,-9.01431941986084,-9.01431941986084,-7.213296413421631,-9.585082054138184,-5.415689468383789,-7.644647598266602
31,-5.67939567565918,-5.770595550537109,-5.918401718139648,-4.42799186706543,-7.287832736968994,-7.287832736968994,-8.133528709411621,-10.021464347839355,-8.609244346618652,-8.609244346618652,-6.017803192138672,-7.791841983795166,-6.726459980010986,-9.298604965209961
32,-5.344939231872559,-5.324653148651123,-5.24948787689209,-3.090165138244629,-7.094715118408203,-7.094715118408203,-7.823227882385254,-9.6077299118042,-8.251004219055176,-8.251004219055176,-5.7850775718688965,-7.442753314971924,-6.730558395385742,-9.31089973449707
33,-5.227230072021484,-5.167707920074463,-5.014069557189941,-2.619328498840332,-6.962361812591553,-6.962361812591553,-7.7950439453125,-9.570151329040527,-8.146430015563965,-8.146430015563965,-5.660392761230469,-7.255727291107178,-6.703271389007568,-9.22903823852539
34,-4.990911960601807,-4.852617263793945,-4.541434288024902,-1.6740570068359375,-6.015993595123291,-6.015993595123291,-7.249466896057129,-8.8427152633667,-7.798795700073242,-7.798795700073242,-5.252097129821777,-6.643283367156982,-6.03893518447876,-7.236031532287598
35,-5.971177101135254,-6.159637451171875,-6.501964569091797,-5.595118522644043,-7.492125034332275,-7.492125034332275,-8.288779258728027,-10.22846508026123,-9.090805053710938,-9.090805053710938,-6.227005481719971,-8.105646133422852,-6.639053821563721,-9.036386489868164
