idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
20,-4.242420196533203,-4.105763912200928,-3.9442405700683594,-3.260498046875,-5.3026251792907715,-5.3026251792907715,-6.558662414550781,-7.854341983795166,-8.1583833694458,-8.1583833694458,-5.589192867279053,-7.0479736328125,-5.7483062744140625,-8.163711547851562
21,-4.196704864501953,-4.044809818267822,-3.8528099060058594,-2.6625518798828125,-5.6772332191467285,-5.6772332191467285,-6.848674774169922,-8.2410249710083,-8.046093940734863,-8.046093940734863,-5.777873992919922,-7.330995559692383,-6.522979736328125,-10.48773193359375
22,-4.276968002319336,-4.151827335357666,-4.013336181640625,-2.9836044311523438,-5.9214019775390625,-5.9214019775390625,-6.973531723022461,-8.407501220703125,-8.316288948059082,-8.316288948059082,-6.1043267250061035,-7.820674896240234,-6.542810916900635,-10.547225952148438
23,-3.983440399169922,-3.7604572772979736,-3.426280975341797,-1.8094940185546875,-5.6404900550842285,-5.6404900550842285,-6.93022346496582,-8.349757194519043,-7.840095520019531,-7.840095520019531,-5.9811248779296875,-7.635871887207031,-6.406092166900635,-10.137069702148438
24,-3.677000045776367,-3.35187029838562,-2.8134002685546875,-0.5837326049804688,-5.347280025482178,-5.347280025482178,-6.748544692993164,-8.107518196105957,-7.550496578216553,-7.550496578216553,-5.741967678070068,-7.277135848999023,-6.178426265716553,-9.454071044921875
25,-4.307088851928711,-4.191988468170166,-4.073577880859375,-3.1040878295898438,-5.526296138763428,-5.526296138763428,-6.832681655883789,-8.219700813293457,-8.093544006347656,-8.093544006347656,-6.0350775718688965,-7.716800689697266,-5.7483062744140625,-8.163711547851562
26,-5.273977279663086,-5.481173038482666,-6.007354736328125,-3.8998184204101562,-7.740682125091553,-7.740682125091553,-7.447019577026367,-9.038818359375,-9.373156547546387,-9.373156547546387,-6.999143123626709,-9.162899017333984,-6.522979736328125,-10.48773193359375
27,-5.755083084106445,-6.122647762298584,-6.969566345214844,-5.824241638183594,-8.161888122558594,-8.161888122558594,-7.756023406982422,-9.450823783874512,-10.147589683532715,-10.147589683532715,-7.992164611816406,-10.65243148803711,-6.542810916900635,-10.547225952148438
28,-5.274844169616699,-5.48232889175415,-6.009088516235352,-3.9032859802246094,-7.81591272354126,-7.81591272354126,-7.66619873046875,-9.33105754852295,-9.456070899963379,-9.456070899963379,-7.429447174072266,-9.808355331420898,-6.406092166900635,-10.137069702148438
29,-4.540002822875977,-4.502540588378906,-4.539405822753906,-0.9639205932617188,-7.387481689453125,-7.387481689453125,-7.32939338684082,-8.881983757019043,-8.544962882995605,-8.544962882995605,-6.514357089996338,-8.435720443725586,-6.178426265716553,-9.454071044921875
30,-5.113659858703613,-5.267416477203369,-5.68671989440918,-3.2585487365722656,-7.264841556549072,-7.264841556549072,-7.193683624267578,-8.701037406921387,-9.159716606140137,-9.159716606140137,-7.2711181640625,-9.57086181640625,-5.7483062744140625,-8.163711547851562
31,-3.748910903930664,-3.44775128364563,-3.026470184326172,-2.6149520874023438,-5.589663028717041,-5.589663028717041,-6.524348258972168,-7.808589935302734,-7.469449520111084,-7.469449520111084,-5.3108696937561035,-6.630489349365234,-5.796907901763916,-8.447982788085938
