idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
3971,-7.932365417480469,-9.873733520507812,-10.247875213623047,-11.365562438964844,-10.595715522766113,-10.595715522766113,-9.531455993652344,-12.005854606628418,-11.94355297088623,-11.94355297088623,-9.330199241638184,-12.94116497039795,-9.4231538772583,-17.035743713378906
3972,-5.998940944671631,-6.971611022949219,-6.253664493560791,-4.815402984619141,-7.742539405822754,-7.742539405822754,-7.33367919921875,-8.640033721923828,-8.572084426879883,-8.572084426879883,-6.186699867248535,-7.546176910400391,-6.510026931762695,-7.403194427490234
3973,-6.3598127365112305,-7.422700881958008,-6.8551177978515625,-5.717582702636719,-8.062646865844727,-8.062646865844727,-7.4380059242248535,-8.770442008972168,-8.937256813049316,-8.937256813049316,-6.213146686553955,-7.58143949508667,-7.584856033325195,-9.552852630615234
3974,-7.967565536499023,-9.920666694641113,-10.318275451660156,-11.506362915039062,-10.178425788879395,-10.178425788879395,-9.049678802490234,-11.363484382629395,-11.734478950500488,-11.734478950500488,-9.045609474182129,-12.514280319213867,-9.267321586608887,-16.56824493408203
3975,-7.7862548828125,-9.678919792175293,-9.95565414428711,-10.781120300292969,-10.433845520019531,-10.433845520019531,-9.321146011352539,-11.725440979003906,-11.779292106628418,-11.779292106628418,-8.843283653259277,-12.210790634155273,-9.375923156738281,-16.89405059814453
3976,-7.323881149291992,-9.062420845031738,-9.030906677246094,-8.931625366210938,-9.903498649597168,-9.903498649597168,-8.897188186645508,-11.160163879394531,-11.201247215270996,-11.201247215270996,-8.368123054504395,-11.498050689697266,-9.322547912597656,-16.733924865722656
3977,-7.074409484863281,-8.729792594909668,-8.531963348388672,-7.933738708496094,-9.455004692077637,-9.455004692077637,-8.488807678222656,-10.615656852722168,-10.884281158447266,-10.884281158447266,-8.0737943649292,-11.056557655334473,-8.476283073425293,-14.19512939453125
3978,-7.327945709228516,-9.067840576171875,-9.03903579711914,-8.947883605957031,-9.969096183776855,-9.969096183776855,-8.850164413452148,-11.097465515136719,-11.274147987365723,-11.274147987365723,-8.029515266418457,-10.99013900756836,-8.721575736999512,-14.931007385253906
3979,-7.354066848754883,-9.102668762207031,-9.091278076171875,-9.0523681640625,-9.864657402038574,-9.864657402038574,-8.64840316772461,-10.828450202941895,-11.454113960266113,-11.454113960266113,-8.259520530700684,-11.3351469039917,-8.37104320526123,-13.879409790039062
3980,-6.343364715576172,-7.4021406173706055,-6.827703952789307,-5.676462173461914,-8.211652755737305,-8.211652755737305,-7.76384973526001,-9.177746772766113,-9.10085678100586,-9.10085678100586,-6.513956069946289,-7.982518672943115,-7.484836578369141,-9.352813720703125
