idx,good,order_swap,no_article,no_modifier,noun_number
109,-5.144182205200195,-7.913421154022217,-8.21332836151123,-7.076457977294922,-6.595624923706055
110,-5.058903217315674,-8.048913955688477,-8.797689437866211,-6.690671920776367,-6.546153545379639
111,-7.011799335479736,-8.72912311553955,-9.012316703796387,-9.488563537597656,-6.94502067565918
112,-6.449304103851318,-7.546098232269287,-6.759312152862549,-6.828088283538818,-9.794344902038574
113,-6.691747665405273,-7.321898937225342,-5.873595237731934,-8.05050277709961,-7.775649547576904
114,-6.943474292755127,-8.867109298706055,-8.91413688659668,-7.566307067871094,-7.92036247253418
115,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
116,-6.822154521942139,-8.695399284362793,-7.955981254577637,-8.683204650878906,-8.04701042175293
117,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
118,-8.227795600891113,-8.236143112182617,-7.940669059753418,-7.489133834838867,-8.732451438903809
119,-6.468699932098389,-8.781708717346191,-8.395219802856445,-7.0106658935546875,-7.752190113067627
120,-4.969395160675049,-7.02189302444458,-7.515561580657959,-6.3292999267578125,-6.291718006134033
121,-4.969395160675049,-7.02189302444458,-7.515561580657959,-6.3292999267578125,-6.291718006134033
122,-9.372694969177246,-10.170578956604004,-9.059496879577637,-10.431690216064453,-10.135991096496582
123,-6.723127365112305,-7.823554515838623,-6.620456695556641,-7.981760025024414,-7.611297130584717
124,-6.104166030883789,-6.931825637817383,-5.422327995300293,-6.759706497192383,-7.129906177520752
125,-5.252191543579102,-8.334929466247559,-8.621742248535156,-7.820163726806641,-6.763481616973877
126,-6.3987579345703125,-6.954334259033203,-6.005641937255859,-6.748029708862305,-8.098113059997559
127,-7.5290303230285645,-7.464637279510498,-6.424098014831543,-7.433343887329102,-7.615973949432373
128,-7.508067607879639,-8.64735221862793,-9.514939308166504,-9.60738754272461,-9.099775314331055
129,-7.188135147094727,-8.855301856994629,-9.081618309020996,-7.84046745300293,-8.081303596496582
130,-7.19645881652832,-8.621923446655273,-6.929418563842773,-8.167837142944336,-8.685208320617676
131,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.313643932342529
132,-7.231842041015625,-6.901002407073975,-6.655129432678223,-7.395946502685547,-8.440264701843262
133,-4.699920177459717,-5.692102432250977,-5.5420966148376465,-4.567514419555664,-5.718244552612305
134,-7.0648274421691895,-8.205854415893555,-7.370067596435547,-7.540523529052734,-7.693504810333252
135,-7.056003093719482,-7.667026042938232,-6.990272521972656,-8.987922668457031,-7.730933666229248
136,-6.943474292755127,-8.867109298706055,-8.91413688659668,-7.566307067871094,-7.920352458953857
137,-7.573957443237305,-8.617475509643555,-8.550858497619629,-8.683204650878906,-8.23676872253418
138,-5.394899368286133,-7.221612930297852,-7.844846725463867,-6.313592910766602,-6.549142837524414
139,-7.441699504852295,-9.941399574279785,-9.818089485168457,-9.106681823730469,-8.678426742553711
140,-6.206390857696533,-6.467220783233643,-6.020391464233398,-6.832513809204102,-6.943527698516846
141,-8.34216594696045,-7.63972282409668,-7.850320816040039,-8.221055030822754,-8.609146118164062
142,-6.5706329345703125,-7.414412021636963,-7.298357963562012,-6.506538391113281,-7.982421875
143,-7.1947855949401855,-8.301018714904785,-8.18834114074707,-8.256172180175781,-7.434421062469482
144,-6.542158126831055,-7.167079448699951,-6.135287284851074,-7.489133834838867,-7.642263412475586
145,-6.454339504241943,-7.794344425201416,-7.09952449798584,-6.870567321777344,-7.900590419769287
146,-6.315525531768799,-7.453643321990967,-7.506572723388672,-7.254386901855469,-6.947916030883789
147,-6.310394763946533,-7.701984882354736,-6.989524841308594,-7.138582229614258,-7.709875106811523
148,-10.744244575500488,-11.33633041381836,-11.141804695129395,-11.164680480957031,-11.780308723449707
