idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
26,though,,10.844559669494629,16.296403884887695,19.192405700683594,17.772417068481445
27,though,,9.46319580078125,11.354740142822266,15.75617504119873,15.485945701599121
28,though,,10.622441291809082,13.893468856811523,17.725000381469727,17.38633918762207
29,though,,11.945359230041504,12.284822463989258,10.951723098754883,18.09922218322754
30,though,,1.1220588684082031,9.198391914367676,14.741521835327148,8.276674270629883
31,though,,0.8161718845367432,6.990805625915527,11.404997825622559,9.984514236450195
32,though,,0.738815426826477,15.651610374450684,17.57546043395996,10.706886291503906
33,though,they said that we knew that,9.177225112915039,10.555012702941895,9.888171195983887,9.479650497436523
34,though,they said that we knew that,8.719437599182129,10.370911598205566,9.052230834960938,8.884001731872559
35,though,they said that we knew that,7.964453220367432,8.671095848083496,8.479256629943848,8.370573997497559
36,though,they said that we knew that,0.30594199895858765,14.455028533935547,14.024703979492188,0.2649248242378235
37,though,they said that we knew that,4.252522945404053,13.071166038513184,10.434795379638672,3.9681599140167236
38,though,they said that we knew that,14.953299522399902,15.882974624633789,15.54422664642334,15.317880630493164
39,though,they said that we knew that,17.141633987426758,9.620329856872559,8.117591857910156,16.33485221862793
40,though,they said that we knew that,16.02837562561035,4.886486530303955,4.426717758178711,19.171669006347656
41,though,they said that we knew that,16.934154510498047,10.177355766296387,9.256287574768066,17.3557071685791
42,though,they said that we knew that,17.129714965820312,8.13364028930664,6.292418479919434,16.617189407348633
43,though,they said that we knew that,8.704314231872559,7.433789253234863,7.25599479675293,8.58995246887207
44,though,they said that we knew that,2.09710955619812,8.954809188842773,8.4532470703125,2.325150489807129
45,though,they said that we knew that,0.6674577593803406,8.605813980102539,8.997340202331543,1.1467747688293457
46,though,they said that we knew that,0.1866658478975296,2.1761281490325928,2.4749321937561035,0.351818710565567
47,though,they said that we knew that,2.1179237365722656,13.057880401611328,11.676592826843262,2.715718984603882
48,though,they said that we knew that,3.1768856048583984,16.3005313873291,12.954734802246094,8.453455924987793
49,though,they said that we knew that,3.4555580615997314,14.902602195739746,9.1031494140625,10.556818008422852
50,though,they said that we knew that,10.031524658203125,9.313457489013672,8.946619987487793,12.170307159423828
51,though,they said that we knew that,7.932489395141602,13.579904556274414,10.615253448486328,11.916036605834961
52,though,they said that we knew that,6.34190559387207,7.551023483276367,5.499273300170898,11.279101371765137
53,though,they said that we knew that,10.528519630432129,14.756507873535156,14.499639511108398,12.742774963378906
54,though,they said that we knew that,9.50506591796875,10.937623023986816,10.544930458068848,10.732521057128906
55,though,they said that we knew that,7.882727146148682,9.36555290222168,7.216513156890869,11.206422805786133
56,though,they said that we knew that,12.361353874206543,10.837218284606934,9.002326011657715,13.046278953552246
57,though,they said that we knew that,5.7915940284729,10.269218444824219,8.193220138549805,11.757471084594727
58,though,they said that we knew that,14.210972785949707,15.65605640411377,11.371581077575684,15.753302574157715
59,though,they said that we knew that,16.814224243164062,14.078593254089355,13.947203636169434,16.999624252319336
60,though,they said that we knew that,13.34631633758545,12.522978782653809,10.83842945098877,14.867941856384277
61,though,they said that we knew that,15.237421035766602,12.076000213623047,10.127350807189941,16.254148483276367
62,though,they said that we knew that,15.6336030960083,12.125046730041504,11.535451889038086,16.4668025970459
63,though,they said that we knew that,4.804232120513916,8.963361740112305,5.7467522621154785,9.442205429077148
64,though,they said that we knew that,4.343989849090576,7.575128555297852,7.307980537414551,6.220642566680908
65,though,they said that we knew that,5.65891695022583,16.304594039916992,12.618419647216797,11.633225440979004
66,as,,7.350026607513428,9.501433372497559,10.36172103881836,9.286138534545898
67,as,,7.649546146392822,11.804316520690918,13.034688949584961,8.662609100341797
68,as,,7.044816493988037,12.786483764648438,10.697112083435059,8.638009071350098
69,as,,0.5614394545555115,12.696314811706543,14.557909965515137,0.8814042210578918
