idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
26,though,,4.789682388305664,14.18973159790039,10.072717666625977,9.080340385437012
27,though,,7.568474769592285,12.683599472045898,6.182223320007324,9.839009284973145
28,though,,5.464747428894043,16.047576904296875,8.663492202758789,12.07798957824707
29,though,,6.877882480621338,12.890304565429688,12.653419494628906,11.988849639892578
30,though,,1.2492008209228516,6.251617908477783,12.12409496307373,14.06761360168457
31,though,,1.6251535415649414,9.339252471923828,10.509623527526855,10.642204284667969
32,though,,0.5749586224555969,8.238794326782227,7.742364406585693,12.517800331115723
33,though,they said that we knew that,10.732879638671875,11.01611042022705,10.02065658569336,10.376654624938965
34,though,they said that we knew that,6.9692301750183105,6.19995641708374,6.201323986053467,6.3501458168029785
35,though,they said that we knew that,8.139404296875,7.768576145172119,5.852261543273926,7.665320873260498
36,though,they said that we knew that,0.5720693469047546,13.018285751342773,10.156384468078613,0.8811249136924744
37,though,they said that we knew that,5.33149528503418,3.084385633468628,2.336723804473877,4.848968505859375
38,though,they said that we knew that,10.665472030639648,7.63334321975708,5.788904666900635,11.412062644958496
39,though,they said that we knew that,11.963969230651855,8.539045333862305,6.695217132568359,11.64520263671875
40,though,they said that we knew that,13.508381843566895,11.368814468383789,10.329511642456055,13.940983772277832
41,though,they said that we knew that,11.810169219970703,9.995102882385254,6.888139247894287,12.031471252441406
42,though,they said that we knew that,12.664413452148438,12.01217269897461,7.86251163482666,13.081525802612305
43,though,they said that we knew that,8.664252281188965,8.722087860107422,4.412296295166016,9.537768363952637
44,though,they said that we knew that,2.018399477005005,7.731618404388428,5.852787017822266,2.175046682357788
45,though,they said that we knew that,0.8698964715003967,7.186670780181885,5.836425304412842,0.779408872127533
46,though,they said that we knew that,0.33029335737228394,7.286221027374268,4.965152740478516,0.27358725666999817
47,though,they said that we knew that,1.3842676877975464,14.07647705078125,10.870804786682129,1.2305949926376343
48,though,they said that we knew that,4.466035842895508,16.839643478393555,13.904011726379395,5.995108604431152
49,though,they said that we knew that,5.558640956878662,13.545939445495605,6.7065839767456055,8.532155990600586
50,though,they said that we knew that,5.118353843688965,18.81622886657715,10.65335750579834,10.777406692504883
51,though,they said that we knew that,12.448580741882324,8.647098541259766,8.143365859985352,13.172393798828125
52,though,they said that we knew that,5.666549205780029,10.669246673583984,7.463744163513184,9.415788650512695
53,though,they said that we knew that,8.150455474853516,26.0518798828125,23.965774536132812,10.512269020080566
54,though,they said that we knew that,7.131561279296875,14.44053840637207,11.889504432678223,9.554861068725586
55,though,they said that we knew that,2.0480189323425293,14.685726165771484,7.368047714233398,6.0420451164245605
56,though,they said that we knew that,11.612852096557617,8.444857597351074,6.358194351196289,13.447303771972656
57,though,they said that we knew that,2.451519012451172,9.170981407165527,7.424091339111328,8.507608413696289
58,though,they said that we knew that,10.24644660949707,4.45696496963501,2.6684131622314453,10.093301773071289
59,though,they said that we knew that,10.439132690429688,15.266204833984375,12.168672561645508,9.6165189743042
60,though,they said that we knew that,10.470433235168457,11.873513221740723,7.418127536773682,10.327438354492188
61,though,they said that we knew that,10.360640525817871,13.99560832977295,6.286867141723633,12.398815155029297
62,though,they said that we knew that,11.704989433288574,12.629782676696777,11.836548805236816,12.291289329528809
63,though,they said that we knew that,4.645244598388672,6.031525135040283,4.5874834060668945,11.077008247375488
64,though,they said that we knew that,5.355582237243652,9.299341201782227,8.212801933288574,6.709437847137451
65,though,they said that we knew that,5.680219650268555,8.831900596618652,5.115089416503906,12.083861351013184
66,as,,5.888150691986084,12.288969039916992,3.8858063220977783,9.835126876831055
67,as,,7.199130535125732,8.466646194458008,7.020585536956787,6.8100266456604
68,as,,3.1965107917785645,12.079532623291016,9.60192584991455,6.942376136779785
69,as,,0.5420837998390198,13.8802490234375,13.25350570678711,0.5722702145576477
70,as,,5.454941749572754,3.776796817779541,3.6129181385040283,3.8457741737365723
71,as,,5.279157638549805,9.140379905700684,7.520989894866943,5.814387321472168
72,as,,7.844975471496582,8.974946022033691,3.934871196746826,12.345619201660156
73,as,,6.192577838897705,13.645092010498047,16.289167404174805,13.05722427368164
74,as,,3.0300357341766357,14.86533260345459,12.649444580078125,10.588752746582031
75,as,,3.6414477825164795,9.486350059509277,6.2471818923950195,10.996620178222656
76,as,,6.857532978057861,14.44338607788086,9.08486557006836,9.985218048095703
77,as,,2.5320799350738525,12.797988891601562,8.948432922363281,2.045912504196167
78,as,,0.83027583360672,8.142131805419922,6.200889587402344,0.43147969245910645
79,as,,0.33514878153800964,9.080349922180176,7.364523887634277,0.30123379826545715
80,as,,1.2245041131973267,12.673359870910645,3.936845302581787,1.16551673412323
81,as,,0.936085045337677,18.929658889770508,17.099512100219727,3.509204149246216
82,as,,0.7302933931350708,12.929105758666992,14.585180282592773,2.4226646423339844
83,as,,5.833728313446045,15.441507339477539,17.481834411621094,5.07932186126709
84,as,,11.704891204833984,11.203646659851074,9.383394241333008,13.444365501403809
85,as,,1.9208012819290161,13.963406562805176,10.941619873046875,1.8860208988189697
86,as,,4.870291233062744,22.827606201171875,20.476173400878906,2.8504788875579834
87,as,,0.9150274991989136,16.239423751831055,14.19980239868164,2.112760066986084
88,as,,3.036461114883423,17.143787384033203,17.919904708862305,3.6851327419281006
89,as,,1.2503069639205933,7.481926441192627,8.725096702575684,4.334752559661865
90,as,,1.8363220691680908,12.272095680236816,12.773231506347656,3.9543709754943848
91,as,,3.826615333557129,5.195258140563965,2.727409601211548,7.992974758148193
92,as,,3.332660436630249,14.827232360839844,12.882953643798828,9.983196258544922
93,as,,4.8363847732543945,14.635441780090332,13.007075309753418,6.311742782592773
94,as,,5.4152960777282715,16.024263381958008,10.1298246383667,11.603656768798828
95,as,,6.708470821380615,14.179848670959473,15.285682678222656,11.177376747131348
96,as,,2.1867828369140625,8.31787395477295,10.589842796325684,5.045291423797607
97,as,,0.7906661629676819,12.217782020568848,14.531829833984375,3.1649086475372314
98,as,,0.8634381890296936,10.279943466186523,8.371265411376953,3.8242061138153076
99,as,they said that we knew that,10.310928344726562,11.826441764831543,9.5581693649292,10.35255241394043
100,as,they said that we knew that,6.843111991882324,6.454946041107178,5.917628288269043,6.470037460327148
101,as,they said that we knew that,7.678526401519775,7.599599838256836,4.778409481048584,6.866845607757568
102,as,they said that we knew that,0.6354098320007324,13.296886444091797,11.081069946289062,0.9138979315757751
103,as,they said that we knew that,5.592878341674805,3.286831855773926,2.364847183227539,4.930530548095703
104,as,they said that we knew that,11.737350463867188,8.7135648727417,5.9090962409973145,10.958545684814453
105,as,they said that we knew that,11.647936820983887,8.538371086120605,6.610358715057373,11.060705184936523
106,as,they said that we knew that,13.57510757446289,11.764005661010742,10.10828971862793,13.518182754516602
107,as,they said that we knew that,11.699951171875,10.911678314208984,8.213377952575684,11.479284286499023
108,as,they said that we knew that,12.644017219543457,11.509114265441895,8.246371269226074,12.130837440490723
109,as,they said that we knew that,8.85643196105957,8.763287544250488,5.490647792816162,9.730610847473145
110,as,they said that we knew that,1.8570728302001953,8.89486312866211,5.9783220291137695,2.092437267303467
111,as,they said that we knew that,0.6654160022735596,7.696890354156494,7.039182186126709,0.6098147034645081
112,as,they said that we knew that,0.35114455223083496,7.02871561050415,5.192489147186279,0.3963223099708557
113,as,they said that we knew that,1.452436089515686,13.425373077392578,9.850933074951172,1.3026171922683716
114,as,they said that we knew that,5.5963521003723145,18.325477600097656,16.160566329956055,6.714324951171875
115,as,they said that we knew that,6.125350475311279,13.339365005493164,8.85157585144043,7.363924026489258
116,as,they said that we knew that,6.773140907287598,14.832213401794434,12.699173927307129,9.074458122253418
117,as,they said that we knew that,12.338006019592285,9.420083045959473,8.667010307312012,12.559264183044434
118,as,they said that we knew that,7.154794692993164,11.511419296264648,11.741098403930664,7.893620491027832
119,as,they said that we knew that,8.940197944641113,26.759279251098633,24.612258911132812,10.214953422546387
120,as,they said that we knew that,7.222915172576904,13.971550941467285,11.176247596740723,7.68079137802124
121,as,they said that we knew that,3.600888729095459,15.005912780761719,8.556831359863281,6.30644416809082
122,as,they said that we knew that,13.38313102722168,9.08565616607666,7.847146511077881,13.130208015441895
